Site,Season,Year,WD,Date,Water Temp.,Conductivity,TDS,Salinity,pH,Turbidity,DO,BOD,Nitrite,Nitrate,Ammonium,DIN,TN,phosphate,TP,Total Quality,Catchment.x,HESY2,MI_QUALITY,IPS,Index Value,Diat_QUALITY,HEFI,FISH_QUALITY,Lat,Lon,Elevation,Dist. To Source (m),Slope (%),Mean Jan Temp,Int. Type R-M,Catch. Area At Site (Km²),Near tural (%),Artificial (%),Agriculture (%)
OMOLIO_DW,SPRING,2021,Θεσσαλία (08),24/05/2021,20.01,653,327,0.32,7.56,15.2,93.1,8.7,0.011,1.109,0.02,1.14,1.356,0.151,0.17,GOOD,,,MODERATE,12,,MODERATE,,,39.9030699,22.6376322,6,222492.75,0.08,5.4,VERY_LARGE,9731.41,47.09,2.36,50.55
ARIS,SUMMER,2020,Δυτ. Πελοπόννησος (01),2/7/2020,24.3,653,327,0.32,7.46,5.7,86,3.4,0.019,0.359,0.039,0.417,0.502,0.011,0.016,GOOD,Pamisou-Nedontos-Neda,,,,,,,,37.081972,22.02721384,7,30228.98,0.04,9.8,RM2,128.83,32.91,6.94,59.89
VRODAMAS,SPRING,2020,Ανατόλ. Πελοπόννησος (03),20/05/2020,21.82,653,326,0.32,7.94,,,,0.027,0.2,0,0.23,0.313,0.011,0.017,HIGH,,,,,,,,,36.97333906,22.58182909,109,79979.39,0.47,8.9,RM3,1362.07,61.35,1.21,36.98
KLEISOURAIKO,WINTER,2021,Δυτ. Πελοπόννησος (01),31/01/2021,16.64,653,326,0.32,7.73,2.6,108.6,0,0.003,0.807,0.008,0.818,0.9,0.009,0.014,HIGH,,,,,,,,,36.853984,21.920939,5,16202.05,0.2,10.7,RM1,61.61,28.74,0,71.26
DAFNOULA,WINTER,2019,Ανατόλ. Στερεά Ελλάδα (07),19/02/2019,9.35,652,326,0.32,8.17,,88.1,0.3,0.027,6.053,0.13,6.21,6.323,0.112,0.115,MODERATE,,,,,,,,,38.2617658,23.4631176,223,614,0.93,6.6,RM5,193.87,0,0,100
ARIS,SUMMER,2019,Δυτ. Πελοπόννησος (01),28/06/2019,23,652,326,0.32,8.15,2.7,56,1.1,0.005,0.725,0.029,0.759,0.864,0.007,0.011,GOOD,,,,,,,,,37.081972,22.02721384,7,30228.98,0.04,9.8,RM2,128.83,32.91,6.94,59.89
MAKRY,SUMMER,2021,Θεσσαλία (08),31/08/2021,19.33,652,326,0.32,7.99,19.6,87,5.1,0.01,2.38,0.029,2.419,2.772,0.092,0.108,GOOD,,0.78,GOOD,14.3,0.89375,GOOD,,,39.255325,22.146075,119,15133,0.08,5.3,RM1,41.47,45.45,0,54.55
GIANNOUZAGAS,SPRING,2021,Δυτ. Πελοπόννησος (01),12/4/2021,12.19,652,326,0.32,7.6,4.72,91,0,0.005,4.795,0.01,4.81,4.908,0.003,0.008,GOOD,,0.78,GOOD,15,0.9375,GOOD,0.33,POOR,36.95452,21.700621,5,12755.54,0.53,10.7,RM1,48.14,12.7,0.7,86.61
VARVAS,WINTER,2019,Αττική (06),22/02/2019,11.33,651,326,0.32,8.21,1.64,89.9,0,0.002,3.048,0.018,3.068,3.364,0.001,0.012,GOOD,,,,,,,,,38.20802529,23.90215283,302,5959.41,2.17,7.2,RM5,17.43,75.11,0,24.89
TZIROREMA,SUMMER,2019,Δυτ. Πελοπόννησος (01),28/06/2019,24.4,650,325.3,0.32,7.89,29.6,19.3,2.8,0.004,0.37,0.034,0.408,0.433,0.01,0.015,GOOD,Pamisou-Nedontos-Neda,0.78,GOOD,14.7,0.901840491,GOOD,,,37.04517778,22.06461111,1,36089.96,0.06,9.9,RM2,155.1,19.18,19.69,60.97
VARVAS,SPRING,2021,Αττική (06),14/05/2021,13.84,649,324,0.32,7.96,1.52,106.4,0,0.003,2.557,0.013,2.573,2.664,0.001,0.004,GOOD,,0.7,GOOD,16.9,,GOOD,,,38.20802529,23.90215283,302,5959.41,2.17,7.2,RM5,17.43,75.11,0,24.89
KLIMATIA,SPRING,2019,Ήπειρος (05),14/05/2019,14.4,648,324,0.32,7.55,231,39.6,110,0.04,0.255,9.36,9.655,10.98,1.137,1.245,POOR,Kalamas,,,,0.674846626,MODERATE,0.32,POOR,39.709378,20.633256,186,8787.32,0.68,5.1,RM2,513.36,31.62,0.53,67.86
ENIPEA,SPRING,2021,Θεσσαλία (08),20/05/2021,22.13,647,323,0.32,8.26,34,107,8.1,0.019,0.432,0.028,0.479,0.804,0.073,0.092,GOOD,,0.56,MODERATE,11.7,,MODERATE,,,39.563521,22.087928,87,52130.03,0.07,5.2,RM3,2640.27,28.44,1.73,67.87
DS_SKOURA,SPRING,2020,Ανατόλ. Πελοπόννησος (03),20/05/2020,19.62,646,324,0.32,7.81,,,,0.024,1.046,0.08,1.15,1.236,0.041,0.049,GOOD,,,,,,,,,36.993872,22.518558,127,72520.57,0.17,8.7,RM2,1201.62,70,3.45,26.55
ANTHOXORI,SPRING,2021,Δυτ. Πελοπόννησος (01),16/04/2021,16.46,646,323,0.32,7.82,1.22,96.91,,0,0.007,0.015,0.022,0.092,0.003,0.006,HIGH,,0.67,MODERATE,16.4,1.006134969,HIGH,0.4,POOR,37.348781,22.146494,393,39997.09,0.4,6.3,RM2,162.17,22.98,1.51,68.88
SKOPIA,SUMMER,2019,Θεσσαλία (08),1/9/2019,20.23,646,323,0.32,7.76,2.81,43,3.4,0.005,7.455,0.013,7.473,7.644,0.008,0.01,GOOD,Pinios Thess.,1,HIGH,15.2,0.902077151,GOOD,0.75,GOOD,39.154823,22.491101,329,37084.74,0.64,4.8,RM4,541.86,42.86,0.47,56.67
VARVAS,SPRING,2019,Αττική (06),4/6/2019,15.51,646,323,0.32,7.69,0.93,99.36,1.7,0.002,2.338,0.007,2.347,2.472,0.001,0.001,GOOD,Marathos (Lake),0.8,GOOD,16.4,,GOOD,,,38.20802529,23.90215283,302,5959.41,2.17,7.2,RM5,17.43,75.11,0,24.89
GRIBOVO,WINTER,2020,Ήπειρος (05),4/2/2020,11.79,644,322,0.32,8.41,7.52,97.7,0,0.043,1.077,0.129,1.249,1.38,0.084,0.096,GOOD,,,,,,,,,39.65858031,20.52043953,100,25548.92,0.16,5.3,RM3,1569.22,55.82,1.13,42.83
MAVROPOTAMO,WINTER,2019,Ήπειρος (05),8/2/2019,12.29,643,322,0.32,8.04,21.7,,0,0.002,0.738,0.023,0.763,0.968,0.01,0.02,HIGH,,,,,,,,,39.23174098,20.50100009,5,61430.85,0.03,9,RM2,791.21,25.14,1.46,72.71
ASSOPOS_UP,SPRING,2020,Ανατόλ. Στερεά Ελλάδα (07),3/6/2020,18.1,571,329,0.32,8.4,17.8,,,0.012,2.198,0.028,2.238,2.364,0.007,0.016,GOOD,,,,,,,,,38.30199722,23.59222563,89,17401.91,0.32,7.8,RM2,385.08,24.81,0,75.19
P266,SUMMER,2021,Θεσσαλία (08),15/07/2021,29.46,658,329.5,0.315,8.15,11.8,172,12.6,0.04,0.147,0.018,0.205,0.482,0.973,0.984,MODERATE,,0.5,MODERATE,4,0.237388724,POOR,0.25,POOR,39.568569,22.078457,86,115186.19,0.02,5.2,RM4,3369.82,32.43,2.71,61.04
LOUDIAS_DW,SUMMER,2021,Κεντρ. Μακεδονία (10),20/07/2021,27.4,633.5,317,0.315,7.6,12.7,66.8,,0.034,0.206,0.093,0.333,0.752,0.186,0.197,MODERATE,,0.56,MODERATE,3.1,,BAD,0.45,MODERATE,40.57743889,22.63039722,1,68566.99,0.01,4.3,RM3,1136.43,8.68,5.45,85.87
KOSTARAZI,SUMMER,2018,Δυτ. Μακεδονία (09),15/09/2018,16.4,750,487,0.31,8.57,7.47,90.4,7.3,0.033,3.627,0.554,4.214,4.624,0.384,0.396,POOR,Aliakmos,1,HIGH,9.6,0.588957055,MODERATE,0.53,MODERATE,40.43514962,21.32095144,614,32020.76,0.22,2,RM2,308.63,31.53,3.95,63
KERASOUNTA,SPRING,2018,Ήπειρος (05),27/04/2018,17,660,435,0.31,7.88,7.76,79,0.6,0.004,0.786,0.041,0.831,0.878,0.02,0.035,GOOD,Louros,1.11,HIGH,12.5,0.766871166,GOOD,,,39.14932,20.85898,5,65358.14,0.04,8.3,RM2,484.56,67.89,2.44,29.67
RASI,SPRING,2021,Ανατόλ. Πελοπόννησος (03),13/04/2021,19.78,646,318,0.31,7.21,12.4,22.8,0,0.001,0.027,0.031,0.059,0.313,0.01,0.026,GOOD,,0.3,POOR,,,,,,36.981941,22.537475,114,75217.74,0.29,8.8,RM5,25.08,71.91,0,28.09
LITHEO_DW,SPRING,2020,Θεσσαλία (08),21/05/2020,21.4,644,322,0.31,7.9,3.96,,,0.265,2.275,0.006,2.546,3.468,0.809,0.84,POOR,,,,,,,,,39.53782804,21.89974918,96,31847.48,0.04,5,RM4,147.55,0,7.16,92.84
LITHEO_DW,SUMMER,2021,Θεσσαλία (08),13/07/2021,23.72,642,323,0.31,7.66,1.48,19.9,26.1,0.109,0.651,2.6,3.36,4.452,0.914,0.926,POOR,,0.4,POOR,2.3,0.136498516,BAD,,,39.53782804,21.89974918,96,31847.48,0.04,5,RM4,147.55,0,7.16,92.84
PINIOS,SUMMER,2021,Βόρ. Πελοπόννησος (02),4/6/2021,22.73,641,322,0.31,7.81,19,67.5,0,0.011,1.029,0.049,1.089,1.212,0.036,0.036,GOOD,,0.44,POOR,11.9,0.73006135,MODERATE,0.17,BAD,37.81041836,21.23455319,1,73362.43,0.03,9.4,RM2,844.45,22.36,0.06,75.87
KIT_TRIK,SPRING,2020,Θεσσαλία (08),21/05/2020,17.6,641,320,0.31,8.3,4.2,,,0.022,4.968,0.05,5.04,5.208,0.029,0.035,GOOD,,,,,,,,,39.53000522,21.77237071,104,40313.23,0.03,4.7,RM4,5.35,0,84.74,15.26
SKOPIA,SUMMER,2021,Θεσσαλία (08),31/08/2021,21.84,639,319,0.31,8.16,12.2,108.3,4.5,0.012,6.338,0.017,6.367,6.492,0.009,0.015,GOOD,,0.6,MODERATE,12.4,0.735905045,GOOD,0.68,GOOD,39.154823,22.491101,329,37084.74,0.64,4.8,RM4,541.86,42.86,0.47,56.67
T1,SPRING,2021,Δυτ. Μακεδονία (09),14/05/2021,19.88,637,319,0.31,8.03,16.5,28.2,6.2,0.071,0.639,1.506,2.216,2.976,0.271,0.304,POOR,,0.44,POOR,13.8,,GOOD,,,40.7517927,22.1694745,27,64205.8,0.02,4.2,RM3,3723.94,39.07,4.71,53.22
KIREFS_EKV,WINTER,2021,Ανατόλ. Στερεά Ελλάδα (07),10/3/2021,15.11,637,319,0.31,7.93,3,106.4,0.3,0.001,0.809,0.01,0.82,0.876,0.006,0.007,HIGH,,,,,,,,,38.827694,23.465234,7,32353.76,0.37,8,RM2,,,,
TRIKALITIKOS,SUMMER,2020,Βόρ. Πελοπόννησος (02),7/7/2020,31.5,637,318,0.31,8.1,74.1,84.9,3.9,0.014,2.786,0.017,2.817,3.084,0.001,0.003,GOOD,Remata Paralias Vor Peloponnisou,0.56,MODERATE,15.5,0.950920245,GOOD,,,38.0772332,22.62260097,5,33656.99,0.58,9.2,RM2,161.12,45.4,2.14,51.47
VOZVOZ,SPRING,2021,Θράκη (12),16/05/2021,18.9,637,318,0.31,7.86,5.15,100,7,0.343,2.357,1.541,4.241,4.68,0.308,0.337,POOR,,0.67,MODERATE,13.7,0.840490798,GOOD,0.47,MODERATE,41.01488751,25.31924269,13,25395.4,0.05,5,RM2,315.39,,,
LOUDIAS_DW,SPRING,2019,Κεντρ. Μακεδονία (10),24/05/2019,21.98,636,318,0.31,7.72,11.7,42.7,5.6,0.05,0.388,0.272,0.711,0.936,0.209,0.214,MODERATE,Axios,0.44,POOR,7.9,,POOR,,,40.57743889,22.63039722,1,68566.99,0.01,4.3,RM3,1136.43,8.68,5.45,85.87
P028,SPRING,2020,Θεσσαλία (08),19/05/2020,20.1,635,318,0.31,7.5,11.3,,,0.014,0.686,0.023,0.723,0.852,0.073,0.085,GOOD,,,,,,,,,39.891494,22.607448,15,218980.24,0.59,5,VERY_LARGE,10609.85,29.86,2.36,64.66
3POTAMO,SUMMER,2020,Δυτ. Πελοπόννησος (01),2/7/2020,24.12,635,317,0.31,7.88,14.6,89.2,7,0.065,0.24,0.119,0.424,0.626,0.221,0.244,MODERATE,Alfeios,0.67,MODERATE,10.3,0.64375,MODERATE,0.15,BAD,37.36144199,22.09469877,375,27990.86,0.17,6.4,RM1,8.41,57.13,3.47,39.4
ENIPEA,SPRING,2019,Θεσσαλία (08),9/5/2019,19.3,634,317,0.31,8.34,25.6,88.3,0.8,0.041,1.979,0.126,2.146,2.304,0.064,0.088,MODERATE,Pinios Thess.,0.6,MODERATE,10.1,,MODERATE,,,39.563521,22.087928,87,52130.03,0.07,5.2,RM3,2640.27,28.44,1.73,67.87
APIDITSA,WINTER,2021,Δυτ. Πελοπόννησος (01),26/01/2021,11.73,634,317,0.31,7.9,113,84.7,,0.052,3.788,0.878,4.718,5.076,0.008,0.013,MODERATE,,,,,,,,,37.39018312,22.08634712,356,30925.25,0.21,6.5,RM2,280,,,
LAPSISTA,WINTER,2020,Ήπειρος (05),4/2/2020,10.87,633,316,0.31,7.66,9.7,84,0.3,0.005,0.456,0.065,0.526,0.575,0.013,0.018,GOOD,,,,,,,,,39.694556,20.835106,466,20014.34,0.03,4.8,RM2,404.45,30.43,0.65,68.92
MAVROSLAK,SPRING,2021,Κεντρ. Μακεδονία (10),28/05/2021,27.11,633,314,0.31,8.16,4.12,98.15,8.1,0.071,0.839,0.729,1.639,2.808,0.003,0.02,MODERATE,,0.44,POOR,19.6,1.225,HIGH,,,40.60150378,23.76106556,16,10554.59,0.55,5.7,RM1,34.46,99.53,0.47,0
VARDAROV,SPRING,2019,Κεντρ. Μακεδονία (10),17/05/2019,19.25,632,316,0.31,7.72,38.4,55.8,8.4,0.237,0.803,1.541,2.581,2.832,1.307,1.372,POOR,Axios,0.67,MODERATE,7,0.429447853,POOR,,,40.696548,22.676432,6,44306.85,0.12,4.2,RM2,306.12,3.56,0.51,94.16
KIT_TRIK,WINTER,2021,Θεσσαλία (08),3/3/2021,12,632,316,0.31,7.68,4.76,87.1,0,0.022,5.038,0.055,5.115,5.232,0.032,0.035,GOOD,,,,,,,,,39.53000522,21.77237071,104,40313.23,0.03,4.7,RM4,5.35,0,84.74,15.26
TZIROREMA,SUMMER,2020,Δυτ. Πελοπόννησος (01),2/7/2020,24.7,631,316,0.31,7.5,10.1,91.9,4.5,0.002,0.114,0.022,0.138,0.262,0.016,0.023,HIGH,Pamisou-Nedontos-Neda,0.56,MODERATE,8.5,0.521472393,MODERATE,,,37.04517778,22.06461111,1,36089.96,0.06,9.9,RM2,155.1,19.18,19.69,60.97
RIZARI,WINTER,2021,Δυτ. Μακεδονία (09),26/02/2021,12.1,630,316,0.31,8.28,25.1,100.1,,0.013,0.837,0.057,0.907,0.984,0.018,0.025,GOOD,,,,,,,,,40.782143,22.088063,73,23169.21,0.8,4.2,RM4,2423.69,34.56,8.24,53.62
FLORI,WINTER,2020,Δυτ. Μακεδονία (09),22/01/2020,3.53,630,315,0.31,7.63,6.08,,1.1,0.045,5.555,0.058,5.658,6.54,0.137,0.138,MODERATE,,,,,,,,,40.81964444,21.49683889,600,24724.27,0.06,-0.4,RM2,255.03,46.37,1.32,52.3
MAKRY,SPRING,2019,Θεσσαλία (08),1/6/2019,9.78,629,315,0.31,7.85,5.03,113.2,1.4,0.006,2.434,0.015,2.455,2.928,0.054,0.058,GOOD,Pinios Thess.,0.67,MODERATE,13.3,0.83125,GOOD,,,39.255325,22.146075,119,15133,0.08,5.3,RM1,41.47,45.45,0,54.55
SKALA,WINTER,2020,Ανατόλ. Πελοπόννησος (03),30/01/2020,14.46,629,314,0.31,6.72,25.5,42.5,14,0.003,0.018,0.02,0.041,0.431,0.017,0.034,HIGH,,,,,,,,,36.84859535,22.68023396,12,101941.04,0.09,10.3,RM5,1680.04,61.62,1.16,36.75
VRODAMAS,WINTER,2020,Ανατόλ. Πελοπόννησος (03),30/01/2020,14.4,627,314,0.31,7.37,54,30.9,39,0.001,0.006,0.011,0.018,0.402,0.024,0.044,HIGH,,,,,,,,,36.97333906,22.58182909,109,79979.39,0.47,8.9,RM3,1362.07,61.35,1.21,36.98
VARVAS,SPRING,2020,Αττική (06),3/6/2020,17.8,518,321,0.31,8.14,4.67,,,0.002,2.178,0.024,2.204,2.28,0.002,0.007,GOOD,,,,,,,,,38.20802529,23.90215283,302,5959.41,2.17,7.2,RM5,17.43,75.11,0,24.89
ALMYR_DW,WINTER,2019,Θεσσαλία (08),24/02/2019,4.75,803,402,0.3,8.18,119,146.17,0.6,0.017,1.393,0.276,1.686,1.733,0.051,0.059,GOOD,,,,,,,,,39.18198732,22.77727457,37,36569.66,0.5,7.2,RM2,154.15,54.53,0,45.47
FILIUR_DW,SUMMER,2018,Θράκη (12),21/09/2018,21.9,707,458,0.3,8.35,30.5,103.2,5.3,0,0.01,0,0.01,0.165,0.011,0.015,HIGH,Rema Komotinis - Loutrou Evrou,1,HIGH,14.3,,GOOD,0.23,POOR,41.00134,25.38836,8,51135.51,0.03,4.9,RM3,1380.75,,,
FILIPP,WINTER,2018,Ανατόλ. Μακεδονία (11),24/02/2018,11.3,693.7,451.7,0.3,6.4,6.46,98.34,0,0.051,4.63,0.068,4.75,4.905,0.076,0.095,MODERATE,,,,,,,,,40.998714,24.165827,46,42406.72,0.06,3.7,RM2,248.48,44.54,5.79,49.66
GRIBOVO,WINTER,2019,Ήπειρος (05),22/02/2019,10.59,689,441,0.3,5.45,5.09,82.7,0,0.028,0.982,0.166,1.176,1.328,0.071,0.084,GOOD,,,,,,,,,39.65858031,20.52043953,100,25548.92,0.16,5.3,RM3,1569.22,55.82,1.13,42.83
STAVROS,WINTER,2018,Νήσοι Αιγαίου (14),3/3/2018,14,677,433.7,0.3,8.15,122,101.93,0,0.001,0.198,0.016,0.215,0.291,0.023,0.023,HIGH,,,,,,,,,39.03429345,26.266434,35,9594.08,0.66,7.6,RM1,48.61,71.49,0,28.51
PINIOS,SUMMER,2018,Βόρ. Πελοπόννησος (02),3/7/2018,23.4,647,330,0.3,8,,61.3,2,0.023,1.207,0.125,1.355,1.744,0.055,0.071,GOOD,Pinios Pel.,0.67,MODERATE,10.4,0.63803681,MODERATE,0.24,POOR,37.81041836,21.23455319,1,73362.43,0.03,9.4,RM2,844.45,22.36,0.06,75.87
KASTRI_(Kalamas),SUMMER,2018,Ήπειρος (05),8/7/2018,21.5,632,,0.3,7.95,11.7,79.5,0.8,0.008,0.672,0.029,0.709,0.866,0.021,0.028,GOOD,Kalamas,0.7,GOOD,12.8,,MODERATE,0.37,POOR,39.56300622,20.28029437,47,72287.95,0.03,8.2,RM3,1538,,,
LOGGIES,SUMMER,2021,Δυτ. Στερεά Ελλάδα (04),10/7/2021,24.34,628,314,0.3,7.96,6.17,168.8,0,0.004,0.105,0.013,0.122,0.221,0.001,0.006,HIGH,,0.44,POOR,12.8,0.8,GOOD,0.55,MODERATE,38.341602,21.730612,6,9414.52,0.55,8.9,RM1,12.68,100,0,0
AG_THOMAS,SUMMER,2019,Δυτ. Στερεά Ελλάδα (04),23/07/2019,25.04,624,312,0.3,7.5,19,38.7,2.8,0.007,0.178,0.076,0.261,0.334,0.042,0.053,GOOD,Agrilias,,,,,,,,38.38216987,21.45569016,5,10886.21,0.44,8.9,RM5,26.51,69.78,1.26,28.69
MAVROSLAK,WINTER,2020,Κεντρ. Μακεδονία (10),2/2/2020,16.63,624,312,0.3,7.31,2,82.6,1.4,0.103,1.477,1.064,2.644,3.252,0.003,0.017,MODERATE,,,,,,,,,40.60150378,23.76106556,16,10554.59,0.55,5.7,RM1,34.46,99.53,0.47,0
TZIROREMA,SPRING,2020,Δυτ. Πελοπόννησος (01),24/05/2020,20.1,622,311,0.3,7.4,,64,,0.006,0.406,0.021,0.433,0.491,0.012,0.021,GOOD,,,,,,,,,37.04517778,22.06461111,1,36089.96,0.06,9.9,RM2,155.1,19.18,19.69,60.97
KASTRI_(Kalamas),SUMMER,2021,Ήπειρος (05),26/08/2021,21.29,621,310,0.3,7.99,3.77,90.2,4.5,0.005,0.535,0.027,0.567,0.627,0.005,0.011,GOOD,,0.67,MODERATE,15.5,,GOOD,0.42,MODERATE,39.56300622,20.28029437,47,72287.95,0.03,8.2,RM3,1538,,,
MEGA,SPRING,2019,Θεσσαλία (08),9/5/2019,20,620,310,0.3,8.44,80.2,158.33,1.1,0.001,0.016,0.017,0.035,0.36,0.012,0.027,HIGH,Pinios Thess.,0.5,MODERATE,12.4,0.760736196,GOOD,,,39.52941,22.011662,87,31583.14,0.01,4.9,RM2,348.27,15.62,3.99,80.39
TSARKIAS,SUMMER,2020,Κεντρ. Μακεδονία (10),4/9/2020,19.9,620,310,0.3,7.93,1.83,93.83,0,0,0.038,0.007,0.045,0.056,0.019,0.025,HIGH,Halkidiki,,,13.6,0.85,GOOD,,,40.484855,23.727706,250,7427.43,0.89,4.1,RM1,24.06,91.08,0,8.92
KRYA_UP,SPRING,2021,Αττική (06),14/05/2021,12.87,620,309,0.3,8.12,1.28,112.2,0.8,0.001,0.012,0.017,0.03,0.066,0.002,0.005,HIGH,,,,14.4,,GOOD,,,38.11422243,23.78176911,255,8494.2,1.21,7.7,RM5,21.24,60.28,19.66,20.06
ENIPEA,WINTER,2019,Θεσσαλία (08),18/02/2019,8.57,619,309,0.3,7.86,66.9,99.5,0,0.018,3.222,0.173,3.413,3.594,0.058,0.077,GOOD,,,,,,,,,39.563521,22.087928,87,52130.03,0.07,5.2,RM3,2640.27,28.44,1.73,67.87
LOGGIES,SUMMER,2020,Δυτ. Στερεά Ελλάδα (04),9/7/2020,23.61,619,309,0.3,7.49,5.51,96,1.1,0.003,0.186,0.025,0.214,0.301,0.002,0.005,HIGH,Evinos,0.78,GOOD,16.2,1.0125,HIGH,0.67,GOOD,38.341602,21.730612,6,9414.52,0.55,8.9,RM1,12.68,100,0,0
P028,SUMMER,2018,Θεσσαλία (08),25/08/2018,21.51,619,,0.3,7.62,7.01,93.2,5.9,0.001,0.044,0.008,0.053,0.155,0.013,0.029,HIGH,Pinios Thess.,,MODERATE,12,,MODERATE,0.1,BAD,39.891494,22.607448,15,218980.24,0.59,5,VERY_LARGE,10609.85,29.86,2.36,64.66
SKOPIA,SPRING,2019,Θεσσαλία (08),31/05/2019,15.95,618,309,0.3,8.27,8.46,107.8,0,0.012,5.588,0.019,5.619,5.82,0.027,0.028,GOOD,Pinios Thess.,0.9,HIGH,13.6,0.807121662,GOOD,0.86,HIGH,39.154823,22.491101,329,37084.74,0.64,4.8,RM4,541.86,42.86,0.47,56.67
KASTRI_(Kalamas),SPRING,2019,Ήπειρος (05),14/05/2019,14.64,618,309,0.3,8.07,80.4,89.7,1.7,0.055,0.895,0.174,1.124,1.226,0.068,0.069,GOOD,Kalamas,,,,,,,,39.56300622,20.28029437,47,72287.95,0.03,8.2,RM3,1538,,,
KIT_TRIK,WINTER,2019,Θεσσαλία (08),18/02/2019,11.21,618,309,0.3,7.92,10.8,75.7,0,0.014,5.416,0.055,5.485,5.704,0.035,0.048,GOOD,,,,,,,,,39.53000522,21.77237071,104,40313.23,0.03,4.7,RM4,5.35,0,84.74,15.26
KIT_TRIK,SPRING,2019,Θεσσαλία (08),10/5/2019,14.8,617,309,0.3,8.6,6.11,74.1,0,0.019,5.271,0.054,5.344,5.664,0.026,0.029,GOOD,Pinios Thess.,0.9,HIGH,13.7,0.81305638,GOOD,,,39.53000522,21.77237071,104,40313.23,0.03,4.7,RM4,5.35,0,84.74,15.26
AG30,WINTER,2019,Ανατόλ. Μακεδονία (11),1/3/2019,12.35,616,308,0.3,7.93,35.5,86.5,1.1,0.041,3.919,0.15,4.11,4.32,0.032,0.04,MODERATE,,,,,,,,,41.0315043,24.0468311,50,30829.04,0.05,4.1,RM3,1348.53,45.01,1.98,50.62
LITHEO_DW,SPRING,2019,Θεσσαλία (08),4/6/2019,18.16,616,308,0.3,7.68,2.02,15.9,4.2,0.269,1.981,0.857,3.107,3.3,0.633,0.652,BAD,Pinios Thess.,,,,,,,,39.53782804,21.89974918,96,31847.48,0.04,5,RM4,147.55,0,7.16,92.84
P004,WINTER,2019,Θεσσαλία (08),21/02/2019,10.5,614,920,0.3,7.79,50.2,125,0,0.017,2.053,0.119,2.189,2.295,0.082,0.089,GOOD,,,,,,,,,39.921888,22.701567,3,230883.09,0.02,6,VERY_LARGE,10721.1,30.15,2.35,64.39
AG30,WINTER,2021,Ανατόλ. Μακεδονία (11),2/2/2021,12.6,614,307,0.3,7.89,37,74,2,0.056,3.254,0.154,3.464,3.744,0.066,0.079,MODERATE,,,,,,,,,41.0315043,24.0468311,50,30829.04,0.05,4.1,RM3,1348.53,45.01,1.98,50.62
P263,SUMMER,2020,Θεσσαλία (08),25/08/2020,27.9,613,607,0.3,8,,98.6,0,0.095,1.515,0.029,1.639,1.812,0.336,0.377,MODERATE,Pinios Thess.,,,7.4,0.439169139,POOR,0.33,POOR,39.58204,22.11037,86,119537.43,0.02,5.5,RM4,6012.46,30.56,2.26,64.14
BOLIA,SUMMER,2019,Ήπειρος (05),26/08/2019,19.9,613,307,0.3,8.35,4.17,,0,0.007,0.713,0.02,0.74,0.888,0.032,0.035,GOOD,Kalamas,1,HIGH,13.4,,GOOD,0.44,MODERATE,39.613932,20.470396,76,35404.12,0.14,5.4,RM3,1838,59.19,0.9,39.74
MELISSA,SPRING,2020,Θεσσαλία (08),20/05/2020,22.3,612,306,0.3,8.1,26.9,,,0.009,1.051,0.018,1.078,1.26,0.296,0.303,MODERATE,,,,,,,,,39.559138,22.647291,54,203069.82,0.02,5.5,RM2,587.15,14.8,4.04,81.16
KOSTARAZI,SUMMER,2020,Δυτ. Μακεδονία (09),1/9/2020,19.3,612,306,0.3,8.06,14.8,89,9.3,0.065,4.795,0.711,5.571,5.856,1.008,1.149,POOR,Aliakmos,,,,,,,,40.43514962,21.32095144,614,32020.76,0.22,2,RM2,308.63,31.53,3.95,63
KIT_TRIK,SPRING,2021,Θεσσαλία (08),9/5/2021,17.65,612,306,0.3,7.94,11.1,76.5,,0.022,4.768,0.083,4.873,5.04,0.032,0.04,GOOD,,0.5,MODERATE,12.1,0.71810089,GOOD,,,39.53000522,21.77237071,104,40313.23,0.03,4.7,RM4,5.35,0,84.74,15.26
KIT_TRIK,SUMMER,2021,Θεσσαλία (08),11/7/2021,22.2,612,306,0.3,7.62,5.4,110.1,6.7,0.025,3.715,0.024,3.764,3.972,0.024,0.035,GOOD,,0.5,MODERATE,16,0.949554896,HIGH,0.34,POOR,39.53000522,21.77237071,104,40313.23,0.03,4.7,RM4,5.35,0,84.74,15.26
AKROPOTAMI,SUMMER,2021,Ήπειρος (05),23/08/2021,22.92,611,302,0.3,7.97,1.58,84.8,3.6,0.001,0.08,0.014,0.095,0.127,0.005,0.01,HIGH,,0.56,MODERATE,14.8,,GOOD,0.26,POOR,39.09374764,21.02740644,3,127628.88,0.03,8,RM3,1863.32,67.07,1.48,23.59
KASTRI_(Kalamas),SUMMER,2019,Ήπειρος (05),27/08/2019,21.9,609,304,0.3,8.06,15.7,,0,0.007,0.523,0.038,0.568,0.692,0.009,0.013,GOOD,Kalamas,0.7,GOOD,11.7,,MODERATE,0.42,MODERATE,39.56300622,20.28029437,47,72287.95,0.03,8.2,RM3,1538,,,
APOKRIMNO_DW,WINTER,2021,Θράκη (12),10/2/2021,13.31,609,304,0.3,8.01,16.6,112.2,0.3,0.011,1.309,0.013,1.333,1.38,0.02,0.027,GOOD,,,,,,,,,40.877654,25.898887,23,21846.13,0.37,4.8,RM2,227.77,,,
